,input,mod,spp,accel_structure,render_time,intersections_per_ray
133,02_cornelbox,median-random,32,0.0195,2545.7223999999997,2.5951065266586806
134,02_cornelbox,median-random,32,0.02,2509.3301,2.5951065266586806
135,02_cornelbox,median-random,32,0.019899999999999998,2523.1258,2.5951065266586806
136,02_cornelbox,median-random,32,0.0195,2506.1498,2.5951065266586806
137,02_cornelbox,median-random,32,0.0195,2497.0241,2.5951065266586806
138,02_cornelbox,median-random,32,0.019700000000000002,2487.4502,2.5951065266586806
139,02_cornelbox,median-random,32,0.0204,2499.4264,2.5951065266586806
140,02_cornelbox,median-robin,32,0.0196,2454.4078,2.5951065266586806
141,02_cornelbox,median-robin,32,0.0196,2467.1465000000003,2.5951065266586806
142,02_cornelbox,median-robin,32,0.0192,2499.2619,2.5951065266586806
143,02_cornelbox,median-robin,32,0.0194,2534.0439,2.5951065266586806
144,02_cornelbox,median-robin,32,0.0191,2493.3093,2.5951065266586806
145,02_cornelbox,median-robin,32,0.0193,2487.5063,2.5951065266586806
146,02_cornelbox,median-robin,32,0.0213,2551.6233,2.5951065266586806
147,02_cornelbox,median-robin,32,0.0194,2511.3376,2.5951065266586806
148,02_cornelbox,median-robin,32,0.0234,2561.8789,2.5951065266586806
149,02_cornelbox,median-robin,32,0.0196,2510.1523,2.5951065266586806
150,02_cornelbox,sah,32,0.04,1998.4106,2.4758247984358186
151,02_cornelbox,sah,32,0.0439,2015.9442,2.4758247984358186
152,02_cornelbox,sah,32,0.0387,1992.7722,2.4758247984358186
153,02_cornelbox,sah,32,0.0399,2014.3192999999999,2.4758247984358186
154,02_cornelbox,sah,32,0.0402,2021.2775000000001,2.4758247984358186
155,02_cornelbox,sah,32,0.0475,2044.6714,2.4758247984358186
156,02_cornelbox,sah,32,0.0436,2050.135,2.4758247984358186
157,02_cornelbox,sah,32,0.045599999999999995,2031.6423000000002,2.4758247984358186
158,02_cornelbox,sah,32,0.0401,2016.8765999999998,2.4758247984358186
159,02_cornelbox,sah,32,0.056499999999999995,2065.3687999999997,2.4758247984358186
160,02_cornelbox,linear,128,9.999999999999999e-05,14084.1376,30.0
161,02_cornelbox,linear,128,0.0,13831.8616,30.0
162,02_cornelbox,linear,128,9.999999999999999e-05,14197.9926,30.0
163,02_cornelbox,spatial-longest,128,0.0177,9715.9634,2.6764251521893483
164,02_cornelbox,spatial-longest,128,0.0176,9668.0009,2.6764251521893483
165,02_cornelbox,spatial-longest,128,0.017,9713.883300000001,2.6764251521893483
166,02_cornelbox,spatial-random,128,0.0168,9842.707199999999,2.6228332420627507
167,02_cornelbox,spatial-random,128,0.017,9253.6665,2.6228332420627507
168,02_cornelbox,spatial-random,128,0.0184,9342.4602,2.6228332420627507
169,02_cornelbox,spatial-robin,128,0.0165,9462.2823,2.6228332420627507
170,02_cornelbox,spatial-robin,128,0.0165,9384.2833,2.6228332420627507
171,02_cornelbox,spatial-robin,128,0.0171,9434.6287,2.6228332420627507
172,02_cornelbox,median-longest,128,0.0194,10234.322,2.5611837654323755
173,02_cornelbox,median-longest,128,0.017499999999999998,10380.53,2.5611837654323755
174,02_cornelbox,median-longest,128,0.018000000000000002,10225.8201,2.5611837654323755
175,02_cornelbox,median-random,128,0.020999999999999998,10357.052899999999,2.5950678076319336
176,02_cornelbox,median-random,128,0.0196,10390.2361,2.5950678076319336
177,02_cornelbox,median-random,128,0.019700000000000002,10222.9821,2.5950678076319336
178,02_cornelbox,median-robin,128,0.0203,10434.594000000001,2.5950678076319336
179,02_cornelbox,median-robin,128,0.019,10247.9988,2.5950678076319336
180,02_cornelbox,median-robin,128,0.019,10368.7147,2.5950678076319336
181,02_cornelbox,sah,128,0.040299999999999996,8352.534800000001,2.4758594284307542
182,02_cornelbox,sah,128,0.039799999999999995,8320.175799999999,2.4758594284307542
183,02_cornelbox,sah,128,0.0393,8271.8095,2.4758594284307542
184,02_spaceship,spatial-longest,1,190.77540000000002,485.3983,4.329400720147151
185,02_spaceship,spatial-longest,1,178.2963,472.2666,4.329400720147151
186,02_spaceship,spatial-longest,1,182.6228,517.9038,4.329400720147151
187,02_spaceship,spatial-longest,1,177.8277,477.1054,4.329400720147151
188,02_spaceship,spatial-longest,1,176.9146,484.9006,4.329400720147151
189,02_spaceship,spatial-longest,1,176.6027,472.703,4.329400720147151
190,02_spaceship,spatial-longest,1,180.07059999999998,473.5177,4.329400720147151
191,02_spaceship,spatial-longest,1,177.1971,488.3141,4.329400720147151
192,02_spaceship,spatial-longest,1,178.2794,475.7743,4.329400720147151
193,02_spaceship,spatial-longest,1,176.0086,487.665,4.329400720147151
194,02_spaceship,spatial-random,1,158.8774,331.4618,4.735451551268912
195,02_spaceship,spatial-random,1,160.2206,348.5787,4.735451551268912
196,02_spaceship,spatial-random,1,155.6372,348.31,4.735451551268912
197,02_spaceship,spatial-random,1,158.46959999999999,338.0056,4.735451551268912
198,02_spaceship,spatial-random,1,158.13309999999998,333.9875,4.735451551268912
199,02_spaceship,spatial-random,1,157.7873,347.4716,4.735451551268912
200,02_spaceship,spatial-random,1,161.6793,334.0686,4.735451551268912
201,02_spaceship,spatial-random,1,157.79670000000002,327.9992,4.735451551268912
202,02_spaceship,spatial-random,1,160.1435,343.5613,4.735451551268912
203,02_spaceship,spatial-random,1,159.73780000000002,340.307,4.735451551268912
204,02_spaceship,spatial-robin,1,160.6922,344.691,4.735451551268912
205,02_spaceship,spatial-robin,1,158.4477,347.857,4.735451551268912
206,02_spaceship,spatial-robin,1,158.8165,348.1778,4.735451551268912
207,02_spaceship,spatial-robin,1,156.39829999999998,331.416,4.735451551268912
208,02_spaceship,spatial-robin,1,157.90699999999998,333.1335,4.735451551268912
209,02_spaceship,spatial-robin,1,158.8942,334.0457,4.735451551268912
210,02_spaceship,spatial-robin,1,156.4553,332.6822,4.735451551268912
211,02_spaceship,spatial-robin,1,160.4116,348.9738,4.735451551268912
212,02_spaceship,spatial-robin,1,157.5092,327.4006,4.735451551268912
213,02_spaceship,spatial-robin,1,158.53130000000002,358.1196,4.735451551268912
214,02_spaceship,median-longest,1,156.3799,745.9856,5.785686226931196
215,02_spaceship,median-longest,1,158.0823,750.3521,5.785686226931196
216,02_spaceship,median-longest,1,156.2142,757.7925,5.785686226931196
217,02_spaceship,median-longest,1,155.5842,768.9558,5.785686226931196
218,02_spaceship,median-longest,1,154.58440000000002,754.9212,5.785686226931196
219,02_spaceship,median-longest,1,154.4744,749.8434,5.785686226931196
220,02_spaceship,median-longest,1,158.3097,746.2685,5.785686226931196
221,02_spaceship,median-longest,1,154.3252,764.3423,5.785686226931196
222,02_spaceship,median-longest,1,153.7079,760.7812,5.785686226931196
223,02_spaceship,median-longest,1,154.7327,765.2006,5.785686226931196
224,02_spaceship,median-random,1,170.57510000000002,492.9499,4.3484789351867565
225,02_spaceship,median-random,1,164.18869999999998,499.0298,4.3484789351867565
226,02_spaceship,median-random,1,165.70260000000002,496.6213,4.3484789351867565
227,02_spaceship,median-random,1,167.3535,538.2917,4.3484789351867565
228,02_spaceship,median-random,1,164.11010000000002,496.5382,4.3484789351867565
229,02_spaceship,median-random,1,163.4676,479.6816,4.3484789351867565
230,02_spaceship,median-random,1,164.0949,505.5049,4.3484789351867565
231,02_spaceship,median-random,1,164.30939999999998,526.5002,4.3484789351867565
232,02_spaceship,median-random,1,165.8373,484.7342,4.3484789351867565
233,02_spaceship,median-random,1,165.0702,503.2123,4.3484789351867565
234,02_spaceship,median-robin,1,166.1172,494.1124,4.3484789351867565
235,02_spaceship,median-robin,1,174.1284,510.2915,4.3484789351867565
236,02_spaceship,median-robin,1,164.3907,490.3368,4.3484789351867565
237,02_spaceship,median-robin,1,165.3177,491.8909,4.3484789351867565
238,02_spaceship,median-robin,1,165.2999,488.4918,4.3484789351867565
239,02_spaceship,median-robin,1,164.5428,495.2424,4.3484789351867565
240,02_spaceship,median-robin,1,163.487,500.2186,4.3484789351867565
241,02_spaceship,median-robin,1,162.768,490.5006,4.3484789351867565
242,02_spaceship,median-robin,1,163.7656,494.5857,4.3484789351867565
243,02_spaceship,median-robin,1,161.6372,496.5147,4.3484789351867565
244,02_spaceship,sah,1,2908.2447,232.8449,3.9470159878097615
245,02_spaceship,sah,1,2896.7608,244.5325,3.9470159878097615
246,02_spaceship,sah,1,2902.1898,245.0785,3.9470159878097615
247,02_spaceship,sah,1,2894.3903999999998,262.8814,3.9470159878097615
248,02_spaceship,sah,1,2879.7365,231.3869,3.9470159878097615
249,02_spaceship,sah,1,2917.262,247.0376,3.9470159878097615
250,02_spaceship,sah,1,2904.3349000000003,237.4277,3.9470159878097615
251,02_spaceship,sah,1,2965.0036,248.3811,3.9470159878097615
252,02_spaceship,sah,1,2973.9728,233.938,3.9470159878097615
253,02_spaceship,sah,1,3023.2266,261.0734,3.9470159878097615
254,02_spaceship,spatial-longest,32,203.1936,14390.303,4.331647997766869
255,02_spaceship,spatial-longest,32,183.2473,14404.0284,4.331647997766869
256,02_spaceship,spatial-longest,32,195.59799999999998,14612.6052,4.331647997766869
257,02_spaceship,spatial-longest,32,197.2709,14483.358600000001,4.331647997766869
258,02_spaceship,spatial-longest,32,190.16359999999997,14843.582,4.331647997766869
259,02_spaceship,spatial-longest,32,185.9246,14700.9517,4.331647997766869
260,02_spaceship,spatial-longest,32,179.1835,14789.3563,4.331647997766869
261,02_spaceship,spatial-longest,32,184.6824,15287.7038,4.331647997766869
262,02_spaceship,spatial-longest,32,202.2462,15406.3165,4.331647997766869
263,02_spaceship,spatial-longest,32,192.7655,15702.8433,4.331647997766869
264,02_spaceship,spatial-random,32,167.62199999999999,10298.5247,4.735668625886477
265,02_spaceship,spatial-random,32,194.49269999999999,10404.1336,4.735668625886477
266,02_spaceship,spatial-random,32,165.1172,10574.454899999999,4.735668625886477
267,02_spaceship,spatial-random,32,164.5479,10227.4521,4.735668625886477
268,02_spaceship,spatial-random,32,190.7535,10052.5386,4.735668625886477
269,02_spaceship,spatial-random,32,185.179,10289.8253,4.735668625886477
270,02_spaceship,spatial-random,32,193.8965,10471.1553,4.735668625886477
271,02_spaceship,spatial-random,32,189.6207,10168.0212,4.735668625886477
272,02_spaceship,spatial-random,32,179.9935,10455.3323,4.735668625886477
273,02_spaceship,spatial-random,32,177.4764,11255.3318,4.735668625886477
274,02_spaceship,spatial-robin,32,158.625,10392.3883,4.735668625886477
275,02_spaceship,spatial-robin,32,156.1371,10146.068599999999,4.735668625886477
276,02_spaceship,spatial-robin,32,154.7199,10257.3199,4.735668625886477
277,02_spaceship,spatial-robin,32,164.442,10412.7813,4.735668625886477
278,02_spaceship,spatial-robin,32,156.7696,10472.404600000002,4.735668625886477
279,02_spaceship,spatial-robin,32,156.7911,10861.6492,4.735668625886477
280,02_spaceship,spatial-robin,32,165.5789,10535.686099999999,4.735668625886477
281,02_spaceship,spatial-robin,32,158.7348,10477.5692,4.735668625886477
282,02_spaceship,spatial-robin,32,159.829,10422.7451,4.735668625886477
283,02_spaceship,spatial-robin,32,167.6784,10479.242400000001,4.735668625886477
284,02_spaceship,median-longest,32,170.7287,24802.448500000002,5.790946830001415
285,02_spaceship,median-longest,32,166.33890000000002,25061.9944,5.790946830001415
286,02_spaceship,median-longest,32,181.8381,24386.9987,5.790946830001415
287,02_spaceship,median-longest,32,168.71159999999998,24721.875699999997,5.790946830001415
288,02_spaceship,median-longest,32,156.6187,24980.1443,5.790946830001415
289,02_spaceship,median-longest,32,153.8096,23906.5762,5.790946830001415
290,02_spaceship,median-longest,32,153.7158,23881.7333,5.790946830001415
291,02_spaceship,median-longest,32,153.64430000000002,23888.1992,5.790946830001415
292,02_spaceship,median-longest,32,155.3679,23883.384299999998,5.790946830001415
293,02_spaceship,median-longest,32,153.40599999999998,23964.9562,5.790946830001415
294,02_spaceship,median-random,32,164.86780000000002,15046.0652,4.351551263647451
295,02_spaceship,median-random,32,170.9032,15228.7713,4.351551263647451
296,02_spaceship,median-random,32,161.59009999999998,15675.1872,4.351551263647451
297,02_spaceship,median-random,32,163.4162,15534.5046,4.351551263647451
298,02_spaceship,median-random,32,163.6157,15158.2236,4.351551263647451
299,02_spaceship,median-random,32,164.3845,14978.663700000001,4.351551263647451
300,02_spaceship,median-random,32,165.2075,15204.573,4.351551263647451
301,02_spaceship,median-random,32,171.7408,16042.523299999999,4.351551263647451
302,02_spaceship,median-random,32,164.8162,15492.231399999999,4.351551263647451
303,02_spaceship,median-random,32,164.6268,14917.1247,4.351551263647451
304,02_spaceship,median-robin,32,162.1676,15366.3994,4.351551263647451
305,02_spaceship,median-robin,32,164.573,14999.9982,4.351551263647451
306,02_spaceship,median-robin,32,164.4174,15035.588600000001,4.351551263647451
307,02_spaceship,median-robin,32,166.054,15230.8894,4.351551263647451
308,02_spaceship,median-robin,32,162.98160000000001,15073.4738,4.351551263647451
309,02_spaceship,median-robin,32,167.4735,15037.5816,4.351551263647451
310,02_spaceship,median-robin,32,164.20100000000002,15635.0106,4.351551263647451
311,02_spaceship,median-robin,32,163.44559999999998,15226.5341,4.351551263647451
312,02_spaceship,median-robin,32,162.8386,15524.2137,4.351551263647451
313,02_spaceship,median-robin,32,164.1306,15011.595800000001,4.351551263647451
314,02_spaceship,sah,32,2917.3217,6795.6258,3.9495969168920952
315,02_spaceship,sah,32,2938.5392,6822.7658,3.9495969168920952
316,02_spaceship,sah,32,2906.4921999999997,7168.22,3.9495969168920952
317,02_spaceship,sah,32,2913.4563,6751.2479,3.9495969168920952
318,02_spaceship,sah,32,2889.4532000000004,7134.173900000001,3.9495969168920952
319,02_spaceship,sah,32,2909.4239000000002,6750.2146999999995,3.9495969168920952
320,02_spaceship,sah,32,2910.3491,6961.1111,3.9495969168920952
321,02_spaceship,sah,32,2914.5634999999997,6736.6386,3.9495969168920952
322,02_spaceship,sah,32,2899.2149,6776.4065,3.9495969168920952
323,02_spaceship,sah,32,2928.7329,7261.4391,3.9495969168920952
324,02_spaceship,spatial-longest,128,180.6717,57978.6529,4.3307396786092776
325,02_spaceship,spatial-longest,128,185.7099,59210.939699999995,4.3307396786092776
326,02_spaceship,spatial-longest,128,179.4537,60516.3855,4.3307396786092776
327,02_spaceship,spatial-random,128,157.0804,39738.3957,4.734685695595564
328,02_spaceship,spatial-random,128,154.9852,40048.0032,4.734685695595564
329,02_spaceship,spatial-random,128,156.02009999999999,40407.9298,4.734685695595564
330,02_spaceship,spatial-robin,128,154.2278,40153.565200000005,4.734685695595564
331,02_spaceship,spatial-robin,128,155.29070000000002,40467.3524,4.734685695595564
332,02_spaceship,spatial-robin,128,154.899,42110.5409,4.734685695595564
333,02_spaceship,median-longest,128,153.92929999999998,95370.59790000001,5.789638236135003
334,02_spaceship,median-longest,128,153.6834,95083.6767,5.789638236135003
335,02_spaceship,median-longest,128,155.70139999999998,95185.66769999999,5.789638236135003
336,02_spaceship,median-random,128,165.0944,60165.8306,4.350857904000401
337,02_spaceship,median-random,128,163.2751,62245.3804,4.350857904000401
338,02_spaceship,median-random,128,162.23760000000001,61057.7019,4.350857904000401
339,02_spaceship,median-robin,128,165.6635,59851.224500000004,4.350857904000401
