,input,mod,spp,count_accel,mean_accel,std_accel,min_accel,25%_accel,50%_accel,75%_accel,max_accel,count_render,mean_render,std_render,min_render,25%_render,50%_render,75%_render,max_render,count_ipr,mean_ipr,std_ipr,min_ipr,25%_ipr,50%_ipr,75%_ipr,max_ipr,mean_sum
33,02_cornelbox,median-robin,128,3.0,0.0194333333333333,0.0007505553499465,0.019,0.019,0.019,0.01965,0.0203,3.0,10350.435833333331,94.6310197066664,10247.9988,10308.35675,10368.7147,10401.65435,10434.594,3.0,2.5950678076319336,0.0,2.5950678076319336,2.5950678076319336,2.5950678076319336,2.5950678076319336,2.5950678076319336,10350.455266666664
34,02_cornelbox,sah,1,10.0,0.04054,0.0017595453958338,0.0376,0.0392,0.0409,0.0418749999999999,0.0429,10.0,70.66704,3.185536644202285,65.9061,69.162425,71.11420000000001,71.44185,76.9521,10.0,2.4755992084850225,0.0,2.4755992084850225,2.4755992084850225,2.4755992084850225,2.4755992084850225,2.4755992084850225,70.70758
35,02_cornelbox,sah,32,10.0,0.0436,0.0053766986979827,0.0387,0.040025,0.0419,0.0451749999999999,0.0564999999999999,10.0,2025.14179,22.88582799412236,1992.7722,2014.725525,2019.07705,2041.414125,2065.3688,10.0,2.475824798435819,4.681111291435603e-16,2.4758247984358186,2.4758247984358186,2.4758247984358186,2.4758247984358186,2.4758247984358186,2025.1853899999999
36,02_cornelbox,sah,128,3.0,0.0397999999999999,0.0004999999999999,0.0393,0.03955,0.0397999999999999,0.0400499999999999,0.0402999999999999,3.0,8314.840033333332,40.62630083410748,8271.8095,8295.99265,8320.175799999999,8336.3553,8352.534800000001,3.0,2.4758594284307542,0.0,2.4758594284307542,2.4758594284307542,2.4758594284307542,2.4758594284307542,2.4758594284307542,8314.879833333332
37,02_cornelbox,spatial-longest,1,10.0,0.0202299999999999,0.0059224713310126,0.0163999999999999,0.017,0.01775,0.0188,0.0329,10.0,83.68943000000002,3.613618680322783,78.7013,80.38589999999999,84.4772,85.7947,89.4036,10.0,2.675065973760224,0.0,2.675065973760224,2.675065973760224,2.675065973760224,2.675065973760224,2.675065973760224,83.70966000000001
38,02_cornelbox,spatial-longest,32,10.0,0.01782,0.0014920530225907,0.0166,0.016925,0.0173,0.0177,0.0207,10.0,2456.21474,50.61861414767854,2402.44,2424.499825,2442.67315,2473.30825,2581.4637,10.0,2.676569599399677,0.0,2.676569599399677,2.676569599399677,2.676569599399677,2.676569599399677,2.676569599399677,2456.23256
39,02_cornelbox,spatial-longest,128,3.0,0.0174333333333333,0.00037859388972,0.017,0.0173,0.0176,0.01765,0.0177,3.0,9699.282533333331,27.110646285239863,9668.0009,9690.9421,9713.8833,9714.92335,9715.9634,3.0,2.676425152189348,5.438959822042073e-16,2.6764251521893483,2.6764251521893483,2.6764251521893483,2.6764251521893483,2.6764251521893483,9699.299966666664
40,02_cornelbox,spatial-random,1,10.0,0.01867,0.0046370608507257,0.0161,0.016325,0.01715,0.018125,0.0314,10.0,81.24217,3.3477636688292858,75.4273,81.06775,82.1557,82.6234,86.4634,10.0,2.622118521938225,4.681111291435603e-16,2.622118521938225,2.622118521938225,2.622118521938225,2.622118521938225,2.622118521938225,81.26084
41,02_cornelbox,spatial-random,32,10.0,0.01744,0.0016681326885672,0.0159,0.016525,0.01705,0.0177,0.0216,10.0,2327.29415,20.18331800413684,2294.6345,2316.0618,2324.82645,2335.6488,2367.1760000000004,10.0,2.622966230195799,4.681111291435603e-16,2.6229662301957988,2.6229662301957988,2.6229662301957988,2.6229662301957988,2.6229662301957988,2327.3115900000003
42,02_cornelbox,spatial-random,128,3.0,0.0174,0.0008717797887081,0.0168,0.0169,0.017,0.0177,0.0184,3.0,9479.6113,317.5689763461315,9253.6665,9298.06335,9342.4602,9592.5837,9842.7072,3.0,2.6228332420627507,0.0,2.6228332420627507,2.6228332420627507,2.6228332420627507,2.6228332420627507,2.6228332420627507,9479.628700000001
